0 23J56 (HighCard, [2, 3, 11, 5, 6])
1 265K8 (HighCard, [2, 6, 5, 13, 8])
2 26957 (HighCard, [2, 6, 9, 5, 7])
3 2785J (HighCard, [2, 7, 8, 5, 11])
4 28K3T (HighCard, [2, 8, 13, 3, 10])
5 293TA (HighCard, [2, 9, 3, 10, 14])
6 2946T (HighCard, [2, 9, 4, 6, 10])
7 29854 (HighCard, [2, 9, 8, 5, 4])
8 2T74J (HighCard, [2, 10, 7, 4, 11])
9 2Q845 (HighCard, [2, 12, 8, 4, 5])
10 2QKA8 (HighCard, [2, 12, 13, 14, 8])
11 2K386 (HighCard, [2, 13, 3, 8, 6])
12 2KQA5 (HighCard, [2, 13, 12, 14, 5])
13 2AJT5 (HighCard, [2, 14, 11, 10, 5])
14 32KT6 (HighCard, [3, 2, 13, 10, 6])
15 32KTJ (HighCard, [3, 2, 13, 10, 11])
16 346T8 (HighCard, [3, 4, 6, 10, 8])
17 34QT8 (HighCard, [3, 4, 12, 10, 8])
18 35478 (HighCard, [3, 5, 4, 7, 8])
19 36275 (HighCard, [3, 6, 2, 7, 5])
20 36K7Q (HighCard, [3, 6, 13, 7, 12])
21 36AQT (HighCard, [3, 6, 14, 12, 10])
22 374JA (HighCard, [3, 7, 4, 11, 14])
23 38Q2J (HighCard, [3, 8, 12, 2, 11])
24 398KA (HighCard, [3, 9, 8, 13, 14])
25 3TJ24 (HighCard, [3, 10, 11, 2, 4])
26 3J7AQ (HighCard, [3, 11, 7, 14, 12])
27 3JQ52 (HighCard, [3, 11, 12, 5, 2])
28 3K25A (HighCard, [3, 13, 2, 5, 14])
29 3K29Q (HighCard, [3, 13, 2, 9, 12])
30 3KT56 (HighCard, [3, 13, 10, 5, 6])
31 423K8 (HighCard, [4, 2, 3, 13, 8])
32 4256A (HighCard, [4, 2, 5, 6, 14])
33 437T2 (HighCard, [4, 3, 7, 10, 2])
34 4395J (HighCard, [4, 3, 9, 5, 11])
35 43T96 (HighCard, [4, 3, 10, 9, 6])
36 4698K (HighCard, [4, 6, 9, 8, 13])
37 47JQT (HighCard, [4, 7, 11, 12, 10])
38 47K2J (HighCard, [4, 7, 13, 2, 11])
39 4TK37 (HighCard, [4, 10, 13, 3, 7])
40 4J2T9 (HighCard, [4, 11, 2, 10, 9])
41 4QA2K (HighCard, [4, 12, 14, 2, 13])
42 4KJQ8 (HighCard, [4, 13, 11, 12, 8])
43 4A8T7 (HighCard, [4, 14, 8, 10, 7])
44 4AT63 (HighCard, [4, 14, 10, 6, 3])
45 53892 (HighCard, [5, 3, 8, 9, 2])
46 53JQ4 (HighCard, [5, 3, 11, 12, 4])
47 53K7T (HighCard, [5, 3, 13, 7, 10])
48 53KA4 (HighCard, [5, 3, 13, 14, 4])
49 53KA6 (HighCard, [5, 3, 13, 14, 6])
50 54A7Q (HighCard, [5, 4, 14, 7, 12])
51 562K4 (HighCard, [5, 6, 2, 13, 4])
52 5687A (HighCard, [5, 6, 8, 7, 14])
53 576K2 (HighCard, [5, 7, 6, 13, 2])
54 57J84 (HighCard, [5, 7, 11, 8, 4])
55 586K7 (HighCard, [5, 8, 6, 13, 7])
56 58AQ9 (HighCard, [5, 8, 14, 12, 9])
57 592AK (HighCard, [5, 9, 2, 14, 13])
58 5T76Q (HighCard, [5, 10, 7, 6, 12])
59 5Q9T4 (HighCard, [5, 12, 9, 10, 4])
60 5K9A8 (HighCard, [5, 13, 9, 14, 8])
61 5KJQ7 (HighCard, [5, 13, 11, 12, 7])
62 5KQ72 (HighCard, [5, 13, 12, 7, 2])
63 6342T (HighCard, [6, 3, 4, 2, 10])
64 63QA5 (HighCard, [6, 3, 12, 14, 5])
65 645KQ (HighCard, [6, 4, 5, 13, 12])
66 64J95 (HighCard, [6, 4, 11, 9, 5])
67 64QK9 (HighCard, [6, 4, 12, 13, 9])
68 67549 (HighCard, [6, 7, 5, 4, 9])
69 6794T (HighCard, [6, 7, 9, 4, 10])
70 67KAT (HighCard, [6, 7, 13, 14, 10])
71 68T47 (HighCard, [6, 8, 10, 4, 7])
72 6JT72 (HighCard, [6, 11, 10, 7, 2])
73 6JK4Q (HighCard, [6, 11, 13, 4, 12])
74 6JA9T (HighCard, [6, 11, 14, 9, 10])
75 6KT4Q (HighCard, [6, 13, 10, 4, 12])
76 6A459 (HighCard, [6, 14, 4, 5, 9])
77 6A482 (HighCard, [6, 14, 4, 8, 2])
78 6A532 (HighCard, [6, 14, 5, 3, 2])
79 6AKJ9 (HighCard, [6, 14, 13, 11, 9])
80 736K5 (HighCard, [7, 3, 6, 13, 5])
81 73A9T (HighCard, [7, 3, 14, 9, 10])
82 742A6 (HighCard, [7, 4, 2, 14, 6])
83 74J69 (HighCard, [7, 4, 11, 6, 9])
84 75K6T (HighCard, [7, 5, 13, 6, 10])
85 76JA5 (HighCard, [7, 6, 11, 14, 5])
86 78246 (HighCard, [7, 8, 2, 4, 6])
87 78Q3J (HighCard, [7, 8, 12, 3, 11])
88 79T86 (HighCard, [7, 9, 10, 8, 6])
89 7T963 (HighCard, [7, 10, 9, 6, 3])
90 7TJ46 (HighCard, [7, 10, 11, 4, 6])
91 7TA58 (HighCard, [7, 10, 14, 5, 8])
92 7J5QA (HighCard, [7, 11, 5, 12, 14])
93 7J8AT (HighCard, [7, 11, 8, 14, 10])
94 7K8T3 (HighCard, [7, 13, 8, 10, 3])
95 7A39K (HighCard, [7, 14, 3, 9, 13])
96 7A82T (HighCard, [7, 14, 8, 2, 10])
97 7AKQ4 (HighCard, [7, 14, 13, 12, 4])
98 82367 (HighCard, [8, 2, 3, 6, 7])
99 84TQA (HighCard, [8, 4, 10, 12, 14])
100 854AJ (HighCard, [8, 5, 4, 14, 11])
101 865T4 (HighCard, [8, 6, 5, 10, 4])
102 86973 (HighCard, [8, 6, 9, 7, 3])
103 8T5AQ (HighCard, [8, 10, 5, 14, 12])
104 8T974 (HighCard, [8, 10, 9, 7, 4])
105 8JT5A (HighCard, [8, 11, 10, 5, 14])
106 8JA6Q (HighCard, [8, 11, 14, 6, 12])
107 8KT94 (HighCard, [8, 13, 10, 9, 4])
108 8KJ35 (HighCard, [8, 13, 11, 3, 5])
109 8KQ39 (HighCard, [8, 13, 12, 3, 9])
110 8AJQ9 (HighCard, [8, 14, 11, 12, 9])
111 936JK (HighCard, [9, 3, 6, 11, 13])
112 93762 (HighCard, [9, 3, 7, 6, 2])
113 948Q3 (HighCard, [9, 4, 8, 12, 3])
114 9537T (HighCard, [9, 5, 3, 7, 10])
115 957TA (HighCard, [9, 5, 7, 10, 14])
116 963QJ (HighCard, [9, 6, 3, 12, 11])
117 97582 (HighCard, [9, 7, 5, 8, 2])
118 986A7 (HighCard, [9, 8, 6, 14, 7])
119 98745 (HighCard, [9, 8, 7, 4, 5])
120 98TJ4 (HighCard, [9, 8, 10, 11, 4])
121 9JQT3 (HighCard, [9, 11, 12, 10, 3])
122 9Q47T (HighCard, [9, 12, 4, 7, 10])
123 9QK75 (HighCard, [9, 12, 13, 7, 5])
124 9QA82 (HighCard, [9, 12, 14, 8, 2])
125 9A736 (HighCard, [9, 14, 7, 3, 6])
126 T2359 (HighCard, [10, 2, 3, 5, 9])
127 T2658 (HighCard, [10, 2, 6, 5, 8])
128 T2K64 (HighCard, [10, 2, 13, 6, 4])
129 T3267 (HighCard, [10, 3, 2, 6, 7])
130 T3458 (HighCard, [10, 3, 4, 5, 8])
131 T3782 (HighCard, [10, 3, 7, 8, 2])
132 T43Q2 (HighCard, [10, 4, 3, 12, 2])
133 T4A76 (HighCard, [10, 4, 14, 7, 6])
134 T5K34 (HighCard, [10, 5, 13, 3, 4])
135 T65Q4 (HighCard, [10, 6, 5, 12, 4])
136 T93Q7 (HighCard, [10, 9, 3, 12, 7])
137 T97Q2 (HighCard, [10, 9, 7, 12, 2])
138 TQ278 (HighCard, [10, 12, 2, 7, 8])
139 TQ54K (HighCard, [10, 12, 5, 4, 13])
140 TK6QJ (HighCard, [10, 13, 6, 12, 11])
141 TA92J (HighCard, [10, 14, 9, 2, 11])
